[20:49:11] [INFO] received Windows console close event; shutting log-core down
[20:49:27] [INFO] received Windows console close event; shutting log-core down
[20:51:28] [INFO] received Windows console close event; shutting log-core down
[20:51:47] [INFO] received Windows console close event; shutting log-core down
[20:52:28] [INFO] received Windows console close event; shutting log-core down
[20:52:51] [INFO] received Windows console close event; shutting log-core down
[20:53:23] [INFO] received Windows console close event; shutting log-core down
[20:54:01] [INFO] received Windows console close event; shutting log-core down
[20:54:11] [INFO] received Windows console close event; shutting log-core down
[20:58:53] [INFO] received Windows console close event; shutting log-core down
[20:58:55] [INFO] received Windows console close event; shutting log-core down
[21:02:32] [INFO] received Windows console close event; shutting log-core down
[21:02:58] [INFO] received Windows console close event; shutting log-core down
[21:04:29] [INFO] received Windows console close event; shutting log-core down
[21:04:40] [INFO] received Windows console close event; shutting log-core down
[21:33:40] [INFO] received Windows console close event; shutting log-core down
[21:37:25] [INFO] received Windows console close event; shutting log-core down
[21:38:53] [INFO] received Windows console close event; shutting log-core down
[21:39:18] [INFO] received Windows console close event; shutting log-core down
[21:42:20] [INFO] received Windows console close event; shutting log-core down
[21:42:55] [INFO] received Windows console close event; shutting log-core down
[21:43:37] [INFO] received Windows console close event; shutting log-core down
[21:45:50] [INFO] received Windows console close event; shutting log-core down
[21:47:55] [INFO] received Windows console close event; shutting log-core down
[21:48:12] [INFO] received Windows console close event; shutting log-core down
[21:48:35] [INFO] received Windows console close event; shutting log-core down
[21:49:03] [INFO] received Windows console close event; shutting log-core down
[21:50:48] [INFO] received Windows console close event; shutting log-core down
[21:51:13] [INFO] received Windows console close event; shutting log-core down
[21:51:27] [INFO] received Windows console close event; shutting log-core down
[21:52:13] [INFO] received Windows console close event; shutting log-core down
[22:07:52] [INFO] received Windows console close event; shutting log-core down
[22:12:02] [INFO] received Windows console close event; shutting log-core down
[22:22:49] [INFO] received Windows console close event; shutting log-core down
[17:10:55] [INFO] received Windows console close event; shutting log-core down
[18:31:39] [INFO] received Windows console close event; shutting log-core down
[19:10:52] [INFO] received Windows console close event; shutting log-core down
[22:39:38] [INFO] received Windows console close event; shutting log-core down
[22:43:48] [INFO] received Windows console close event; shutting log-core down
[22:44:50] [INFO] received Windows console close event; shutting log-core down
[22:51:44] [INFO] received Windows console close event; shutting log-core down
[23:02:03] [INFO] received Windows console close event; shutting log-core down
[23:12:50] [INFO] received Windows console close event; shutting log-core down
[23:15:26] [INFO] received Windows console close event; shutting log-core down
[16:23:20] [INFO] received Windows console close event; shutting log-core down
[16:23:23] [INFO] received Windows console close event; shutting log-core down
[14:24:28] [INFO] received Windows console close event; shutting log-core down
[14:25:06] [INFO] received Windows console close event; shutting log-core down
[14:25:36] [INFO] received Windows console close event; shutting log-core down
[14:25:53] [INFO] received Windows console close event; shutting log-core down
[14:26:05] [INFO] received Windows console close event; shutting log-core down
[14:28:37] [INFO] received Windows console close event; shutting log-core down
[14:32:06] [INFO] received Windows console close event; shutting log-core down
[14:32:06] [INFO] received Windows console close event; shutting log-core down
[14:32:06] [INFO] received Windows console close event; shutting log-core down
[14:35:28] [INFO] received Windows console close event; shutting log-core down
[14:36:49] [INFO] received Windows console close event; shutting log-core down
[14:41:35] [INFO] received Windows console close event; shutting log-core down
[14:42:17] [INFO] received Windows console close event; shutting log-core down
[14:42:18] [INFO] received Windows console close event; shutting log-core down
[14:42:25] [INFO] received Windows console close event; shutting log-core down
[14:58:38] [INFO] received Windows console close event; shutting log-core down
[15:03:32] [INFO] received Windows console close event; shutting log-core down
[15:14:58] [INFO] received Windows console close event; shutting log-core down
[15:19:44] [INFO] received Windows console close event; shutting log-core down
[15:22:52] [INFO] received Windows console close event; shutting log-core down
[15:25:34] [INFO] received Windows console close event; shutting log-core down
[15:27:58] [INFO] received Windows console close event; shutting log-core down
[15:29:36] [INFO] received Windows console close event; shutting log-core down
[15:32:24] [INFO] received Windows console close event; shutting log-core down
[15:33:58] [INFO] received Windows console close event; shutting log-core down
[15:34:59] [INFO] received Windows console close event; shutting log-core down
[11:03:22] [INFO] received Windows console close event; shutting log-core down
[11:06:11] [INFO] received Windows console close event; shutting log-core down
[11:45:24] [INFO] received Windows console close event; shutting log-core down
[11:46:37] [INFO] received Windows console close event; shutting log-core down
[15:02:35] [INFO] received Windows console close event; shutting log-core down
[15:03:42] [INFO] received Windows console close event; shutting log-core down
[15:39:32] [INFO] received Windows console close event; shutting log-core down
[16:01:05] [INFO] received Windows console close event; shutting log-core down
[16:03:03] [INFO] received Windows console close event; shutting log-core down
[16:12:42] [INFO] received Windows console close event; shutting log-core down
[16:14:06] [INFO] received Windows console close event; shutting log-core down
[16:19:42] [INFO] received Windows console close event; shutting log-core down
[16:19:45] [INFO] received Windows console close event; shutting log-core down
